Account,Tweet text,Date,Positive Score,Negative Score,Neutral Score,Compound Score
The New York Times,"Opinion: ""Until recently, I had never asked myself what it means to be Spanish"" https://t.co/4znkgUZ71U",Sat Dec 16 21:06:06 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,Puerto Rico is bracing for another blow: a foreclosure epidemic that could rival what happened in Detroit https://t.co/I9RxP9X9cc,Sat Dec 16 20:51:06 +0000 2017,0.0,0.086,0.914,-0.128
The New York Times,Opinion: The tax bill is a consequence of the one-percenters taking control of the nation’s wealth and political po… https://t.co/MQjRO06kmg,Sat Dec 16 20:36:06 +0000 2017,0.151,0.0,0.849,0.4939
The New York Times,"It would be fair to argue that the internet was, for the most part, a rancid stew of awful in 2017. But it wasn’t a… https://t.co/Jl1TH24l0J",Sat Dec 16 20:21:00 +0000 2017,0.071,0.283,0.647,-0.7832
The New York Times,"According to scholars of American history, the invocation of a president’s name as a declaration of exclusion, rath… https://t.co/uNQmKWGvXV",Sat Dec 16 20:19:00 +0000 2017,0.0,0.121,0.879,-0.296
The New York Times,"For the record, Classical beat Canton https://t.co/4eGB8uVYCC https://t.co/i1XF8T2kEI",Sat Dec 16 20:15:00 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"In March, white fans at Canton High School shouted “Trump! Trump! Trump!” as players from Hartford’s Classical Magn… https://t.co/IP8VIRHU1T",Sat Dec 16 20:11:00 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,The police are investigating the “suspicious” deaths of a wealthy Toronto couple who were found inside their mansion https://t.co/xSsMHzRawU,Sat Dec 16 20:01:02 +0000 2017,0.128,0.0,0.872,0.3612
The New York Times,Kirsten Gillibrand has assumed her place at the head table of the Democrats’ anti-Trump movement https://t.co/ooYXwBgVBB,Sat Dec 16 19:45:10 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"A training mission took a bizarre turn in 2004, catching the attention of a Pentagon program investigating UFOs https://t.co/8SLxns72Kv",Sat Dec 16 19:30:12 +0000 2017,0.0,0.133,0.867,-0.3182
The New York Times,"Rikers Island is undergoing a transformation, following the model of Chicago’s Cook County Jail. See the changes fi… https://t.co/mr7d2iCrYp",Sat Dec 16 19:15:12 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"The tax code has long offered rewards for buying rather than renting, an equation that the Republican bill upends https://t.co/vFQ4FD8mwB",Sat Dec 16 19:00:09 +0000 2017,0.14,0.0,0.86,0.4767
The New York Times,Our reporter isn't dead yet. But try telling that to Google. https://t.co/OuvDdOgpmx,Sat Dec 16 18:45:10 +0000 2017,0.238,0.0,0.762,0.5334
The New York Times,"He used to refer to the prison as “dad’s house.” This month, he got to go inside, for a soccer match with his fathe… https://t.co/CFZhdKhKb0",Sat Dec 16 18:30:11 +0000 2017,0.0,0.125,0.875,-0.5106
The New York Times,"In a career filled with acquisitions, Disney's Bob Iger has just made his most important, and it will determine his… https://t.co/LkickyO4Ry",Sat Dec 16 18:15:08 +0000 2017,0.099,0.0,0.901,0.2716
The New York Times,She sent him a Facebook message asking him out. The groom didn't see it until a year and a half later. https://t.co/3ZwRdreglW,Sat Dec 16 18:00:21 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,A neuroscientist has discovered an unusual but fruitful way to study our most enigmatic organ: blending it https://t.co/dbc1zKTUbL,Sat Dec 16 17:45:12 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"In a White House where drama and chaos have been prominent, Omarosa Manigault Newman was known for contributing to… https://t.co/OYWVcshQtv",Sat Dec 16 17:30:03 +0000 2017,0.1,0.161,0.739,-0.34
The New York Times,The Pentagon has acknowledged a secret program to investigate UFOs. It began in 2007 as a pet project of Harry Reid. https://t.co/iW4cksDxfq,Sat Dec 16 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,The GOP moved closer to a victory on their $1.5 trillion tax plan after Marco Rubio and Bob Corker gave their suppo… https://t.co/8dmoPIowu5,Sat Dec 16 17:00:19 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,A poll finds that Americans don’t expect their own taxes to decline next year https://t.co/gRNddOkRGH,Sat Dec 16 16:45:08 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,RT @DanBarryNYT: How the sitting President's surname is used as a jaw-jutting taunt; we're a long way from 'I Like Ike.' By @jeligon and me…,Sat Dec 16 16:35:02 +0000 2017,0.102,0.0,0.898,0.3612
The New York Times,"Still searching for the perfect present? We're here to help, with over 300 holiday gift ideas. (You're welcome.) https://t.co/bTfehDbdCe",Sat Dec 16 16:26:09 +0000 2017,0.444,0.0,0.556,0.9001
The New York Times,A $300 million chateau is one of a string of extravagant purchases for a prince who is preaching fiscal austerity https://t.co/yiXjgCXgGr,Sat Dec 16 16:16:06 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"Day by day, we followed a Christmas tree from the hillsides of Nova Scotia to a cozy living room in NYC… https://t.co/1KfgXnz1wk",Sat Dec 16 16:01:04 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,"13 great titles expiring from Netflix in January
https://t.co/Uvo114FOr7",Sat Dec 16 15:46:07 +0000 2017,0.339,0.0,0.661,0.6249
The New York Times,Doug Jones’s win is a sign for Democrats that the path to victory is through energizing minority communities https://t.co/98SolR3WGj,Sat Dec 16 15:31:03 +0000 2017,0.298,0.0,0.702,0.7783
The New York Times,"RT @dionnesearcey: Dance parties, making out by the raptor cage and a gender equity class. In Nigeria, Maiduguri is more than just the birt…",Sat Dec 16 15:16:02 +0000 2017,0.109,0.0,0.891,0.4019
The New York Times,E.P.A. Contractor Has Spent Past Year Scouring the Agency for Anti-Trump Officials https://t.co/JfvDFeX35t,Sat Dec 16 15:11:57 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,Gift ideas that don't break the bank https://t.co/O0wvH6MZ9w https://t.co/5K2Rc5FWy9,Sat Dec 16 15:06:05 +0000 2017,0.266,0.0,0.734,0.4404
The New York Times,RT @jeligon: A new racial slur added to the American lexicon: “Trump.” via @DanBarryNYT &amp; me https://t.co/4n9KtoY2XR,Sat Dec 16 14:56:02 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,“The bad news is we’re not quite as special as we thought we were. But the good news is we may have a lot of cosmic… https://t.co/dFQt3Ff1vr,Sat Dec 16 14:47:03 +0000 2017,0.091,0.187,0.722,-0.4703
The New York Times,“There’s just really not that many people on the Earth who sail boats like the ones you see on ‘Pirates Of The Cari… https://t.co/Lob6TGqrTp,Sat Dec 16 14:32:07 +0000 2017,0.098,0.0,0.902,0.3612
The New York Times,"Maybe you had no idea what the toy was, or why it was so special. But your child had to have it. Tell us the story. https://t.co/dVNu4ArcE6",Sat Dec 16 14:17:04 +0000 2017,0.114,0.072,0.815,0.3163
The New York Times,"""Is my Netflix going to start sputtering?"" ""Will my internet service bill go up?"" https://t.co/zzwCpCskKl",Sat Dec 16 14:02:03 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,What’s in the final Republican tax bill https://t.co/KDnwyC9nmp,Sat Dec 16 13:47:05 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,11 of Our Best Weekend Reads https://t.co/1s30KaGqtd,Sat Dec 16 13:37:43 +0000 2017,0.412,0.0,0.588,0.6369
The New York Times,"“They spent their lives in misery, they died in misery.” The forgotten bodies had names and families and stories, n… https://t.co/SaCJpQQYQ4",Sat Dec 16 13:32:06 +0000 2017,0.0,0.338,0.662,-0.8481
The New York Times,"His doctors were stumped. Then he took over. https://t.co/rzADWg6jDK

This was one of our most popular stories on social media this year.",Sat Dec 16 13:17:07 +0000 2017,0.128,0.0,0.872,0.4754
The New York Times,"30 years ago, a single oil well was drilled in Alaska's Arctic Refuge. Satellite images show how it altered the tun… https://t.co/JGd6SM8PvJ",Sat Dec 16 13:02:04 +0000 2017,0.095,0.0,0.905,0.2732
The New York Times,Exodus of Foreign Workers Leaves British Employers in the Lurch https://t.co/XQD2Zb1YtV,Sat Dec 16 12:57:12 +0000 2017,0.0,0.0,1.0,0.0
The New York Times,New York City’s next subway chief will consider shutting train lines for long periods to help modernize the system https://t.co/QadSGBq8c1,Sat Dec 16 12:41:07 +0000 2017,0.124,0.0,0.876,0.4019
The New York Times,"Andrea Ramsey, who was looking to flip a Kansas congressional seat from red to blue next year, is ending her campai… https://t.co/Yxkb0mCaLK",Sat Dec 16 12:21:05 +0000 2017,0.0,0.0,1.0,0.0
